zip,path_in_zip,size_bytes,extension,category,decision,reasons,sha256
Source - 2.zip,Source/Core/CanvasLayer.cpp,16880,.cpp,code/config,keep,,11f38c2c91ae2e306be5bf1c2cb6c2fa5b1e8f1f3fdaccb9dc619165d7f22a32
Source - 2.zip,Source/Core/CanvasLayer.h,9314,.h,code/config,keep,,d3e3461b617eae3fa438214daa20a717ea84cab9a9e9f10121ec503e978907bf
Source - 2.zip,Source/Core/CanvasProcessor.cpp,5085,.cpp,code/config,keep,,aec283f11ddb323240f221bd597b1f9c58e76da935d18912ff1d050a65ef47c2
Source - 2.zip,Source/Core/CanvasProcessor.h,2264,.h,code/config,keep,,b3b35104509fd368ab42a653f15a9f3d7d39d3aa28a1d1349178e1b2c4683feb
Source - 2.zip,Source/Core/CDPSpectralEngine.cpp,40862,.cpp,code/config,keep,,b0fd81ed64e15f96893c51fa1e159e0ebbd9171fdc7747e30fb723e8a9532470
Source - 2.zip,Source/Core/CDPSpectralEngine.h,16009,.h,code/config,keep,,a3b89346147310c4cf5f17e0d1af01ef8aae0c33ea15928bbcc0863b1e9fa913
Source - 2.zip,Source/Core/CEM3389Filter.cpp,10085,.cpp,code/config,junk,duplicate of SpectralResearchVault.zip::SpectralResearchVault/Analog/CEM3389Filter/CEM3389Filter.cpp,7878797b3dd1d26b6bdf911175ae58af299c3e147f9b66dc7ed03bd853b7e1e5
Source - 2.zip,Source/Core/CEM3389Filter.h,5036,.h,code/config,keep,,69fd86a9d619f718e316d710d3f3ba3672da05929351bafc114da3aac89dfba0
Source - 2.zip,Source/Core/CollaborativeManager.cpp,10663,.cpp,code/config,keep,,5612c42d524f7b0bb99e664222a6af92db2adb7671ec1996297ff58d7cdb6025
Source - 2.zip,Source/Core/CollaborativeManager.h,19733,.h,code/config,keep,,471616c74d2c686ece892e33c72a2ee2debdc8a5313f45b7f0de1e526badce88
Source - 2.zip,Source/Core/ColorToSpectralMapper.cpp,11426,.cpp,code/config,keep,,782cc4cdb773f1e8f2b0bec97c7851c664a9af7d6ab7f558a2a662fa58cc32db
Source - 2.zip,Source/Core/ColorToSpectralMapper.h,4820,.h,code/config,keep,,cb7f6b8fb6fda33f9d869d3721c041158bfb0837e3635c0d28859a99b473819d
Source - 2.zip,Source/Core/ColumnOps.h,800,.h,code/config,keep,,ce9842c9da31253f34c9423eb5fca4969d70fd9276091a88a2f4db242c481352
Source - 2.zip,Source/Core/CommandQueue.h,8636,.h,code/config,junk,duplicate of Source - 2.zip::Source/CommandQueue.h,2f628f019001ec94717ea401443544f8270bfcc5ffa97681d50070f03c9e6eaf
Source - 2.zip,Source/Core/CommandQueueOptimized.h,13695,.h,code/config,keep,,e48c5450508b7a019721c39c9bb0ecb41491acdb695b08bd84be09b59930d8fb
Source - 2.zip,Source/Core/Commands.h,8769,.h,code/config,keep,,4eaef97565d1db19f36256b03e699b5361bb757545a9b0b943305029dd40f816
Source - 2.zip,Source/Core/Config.cpp,1495,.cpp,code/config,keep,,4a231eaf0c7eef1a7e5525d2e056d612a14d112ec8c10dda5fd5d1e0c5689a8e
Source - 2.zip,Source/Core/Config.h,2927,.h,code/config,keep,,3ec4c5f60b7c6bb7fad751ab6e0d3592bbacf661d93bec13fb0b0eda47660700
Source - 2.zip,Source/Core/ContinuousVerification.h,10334,.h,code/config,keep,,dc885e1b935959794fec3a1c87ea3196603b6a2cdfb792c26d7d2016b33b488f
Source - 2.zip,Source/Core/CrashToggles.h,2839,.h,code/config,keep,,a4894dfa6edb234cc989b1fca69119c0faf8b1379c9dfee0ea8dff11a8460a58
Source - 2.zip,Source/Core/DegradedModeManager.h,11525,.h,code/config,keep,,8d6ed9a591c37e513f5ad062e94ff07a134411ed9ab9359b2b94db1e65e3f58c
Source - 2.zip,Source/Core/DiagnosticLogger.cpp,2765,.cpp,code/config,keep,,e2194a22638db3024bbbabd4f15be7f00784a78e85b86542a67e1d01f8ad58b3
Source - 2.zip,Source/Core/DiagnosticLogger.h,2739,.h,code/config,keep,,e0541c19213dc8abd0b24214a9a3e0f5293e2778988bb18099bb04ab539eee1b
Source - 2.zip,Source/Core/DoubleBuffer.h,891,.h,code/config,keep,,85b4a3387813d26e543f7476036659a44d3136c32195bde0a46dfaec19931ea8
Source - 2.zip,Source/Core/EMUFilter.h.backup,6001,.backup,other,keep,,9bbe0bf7a2f776e681737e1b193e9e0e79d16665b2f5d8bba7eaf610f20286aa
Source - 2.zip,Source/Core/ForgeProcessor.cpp,2632,.cpp,code/config,keep,,bd545d0bd2be7811ab617d2d0e91277590eb2e0487a25b5e6f56bd0419c5155e
Source - 2.zip,Source/Core/ForgeProcessor.h,1128,.h,code/config,keep,,d755a55f95cc9123f00da8f38bb5bb1545f38a0409b0abfe11e3d8e8af1e06c8
Source - 2.zip,Source/Core/ForgeVoice.cpp,5271,.cpp,code/config,keep,,405b401b8ead1d5dcf8c591bd6269c5693baa9d010a502851c8c0470fa9f706b
Source - 2.zip,Source/Core/ForgeVoice.h,2991,.h,code/config,keep,,ef0cfdfc2954e625b62c8489e0f82d3033202ca55e8d75f249bcded6c6142461
Source - 2.zip,Source/Core/FrequencyLUT.h,10901,.h,code/config,keep,,d7e3a0542525a8e42a0e41fea2f94ae65a5d9b74cf31779ba4e9de0329408c07
Source - 2.zip,Source/Core/GestureSnapshot.h,5934,.h,code/config,keep,,6cf6c583859ee8d232fea26f9d2e5044b4b6d2505d4c81bd8151bc94044098cd
Source - 2.zip,Source/Core/GPUStatus.h,204,.h,code/config,keep,,b95fa01548e983b74ef33adb9281b99baeda50177e05d295e575bda69c552cde
Source - 2.zip,Source/Core/GrainPool.cpp,277,.cpp,code/config,keep,,274fe8430a68ef8b5f9b80ea27dc617a2bd59586f0eacf47b30ca8c34bda93dc
Source - 2.zip,Source/Core/GrainPool.h,265,.h,code/config,keep,,61dcab66ca6ba73ede87888918cd3310751314e8c80655338d68efda8889b93d
Source - 2.zip,Source/Core/HardwareControllerManager.cpp,26560,.cpp,code/config,keep,,30ea351dec3a163b12ec3853035a86d9dc34ded637425df0b635da776583b752
Source - 2.zip,Source/Core/HardwareControllerManager.h,17618,.h,code/config,keep,,36ee49f7273906583f8efb0a1d7aac8caad85150bcc05b17092cd5f6e1f4466e
Source - 2.zip,Source/Core/HarmonicQuantizer.h,5860,.h,code/config,keep,,dbd1a0a9fc7ca8b01d45ed5d2b6a4507abd3d45ed6dcf16f2a83f74eb4424f1e
Source - 2.zip,Source/Core/IntegrationTest.cpp,7271,.cpp,code/config,keep,,bcddae1d6f6843c8925219cbb2a88ce3a39489f63cd63ce3015165a61e13e5dc
Source - 2.zip,Source/Core/LatencyTracker.h,3813,.h,code/config,keep,,b7ac5a3b2cab7fcb6cbea14e82ed5f4a907c97ef4b5926ec37601aab496c856e
Source - 2.zip,Source/Core/LinearTrackerEngine.cpp,27992,.cpp,code/config,keep,,5d26b05df23b0453812a4a47c7656f5470d201a94d599b3a3f1ba1fa732e2d81
Source - 2.zip,Source/Core/LinearTrackerEngine.h,14704,.h,code/config,keep,,5704896d34a57b3203dacde890e99970571b004d252d3d5c09ce76c127629704
Source - 2.zip,Source/Core/MaskAtlas.h,1924,.h,code/config,keep,,9f07b70dfc121bf0568e313525939611c281323731e91aa4832c2a42a8c6ea96
Source - 2.zip,Source/Core/MaskColumn.h,1293,.h,code/config,keep,,cfe596a98f491a1c376d29e385eeed74e6961d4c8b89d00dbca096add6108d32
